nsubj(era-2, Ele-1)
root(ROOT-0, era-2)
acomp(era-2, triste-3)
cc(triste-3, e-4)
conj(triste-3, alto-5)
p(era-2, .-6)

nsubj(falava-2, Jamais-1)
root(ROOT-0, falava-2)
adpmod(falava-2, comigo-3)
nsubj(desse-6, que-4)
neg(desse-6, não-5)
rcmod(comigo-3, desse-6)
adpmod(desse-6, a-7)
adpcomp(a-7, entender-8)
mark(consistia-13, que-9)
poss(defeito-12, seu-10)
amod(defeito-12, maior-11)
nsubj(consistia-13, defeito-12)
ccomp(entender-8, consistia-13)
adpmod(consistia-13, na-14)
poss(tendência-16, sua-15)
adpobj(na-14, tendência-16)
adpmod(tendência-16, para-17)
det(destruição-19, a-18)
adpobj(para-17, destruição-19)
p(falava-2, .-20)

cc(dizia-4, E-1)
adpmod(dizia-4, por-2)
adpobj(por-2, isso-3)
root(ROOT-0, dizia-4)
xcomp(dizia-4, alisando-5)
det(cabelos-7, os-6)
dobj(alisando-5, cabelos-7)
amod(cabelos-7, negros-8)
adpmod(alisando-5, como-9)
nsubj(alisa-11, quem-10)
adpcomp(como-9, alisa-11)
det(pelo-13, o-12)
dobj(alisa-11, pelo-13)
amod(pelo-13, macio-14)
cc(macio-14, e-15)
conj(macio-14, quente-16)
adpmod(macio-14, de-17)
det(gatinho-19, um-18)
adpobj(de-17, gatinho-19)
adpmod(alisa-11, por-20)
adpobj(por-20, isso-21)
conj(alisando-5, é-22)
mark(resumia-27, que-23)
poss(vida-25, sua-24)
nsubj(resumia-27, vida-25)
dobj(resumia-27, se-26)
csubj(é-22, resumia-27)
adpmod(resumia-27, num-28)
adpobj(num-28, monte-29)
adpmod(monte-29, de-30)
adpobj(de-30, cacos-31)
p(é-22, :-32)
det(brilhantes-34, uns-33)
attr(é-22, brilhantes-34)
nsubj(baços-36, outros-35)
rcmod(brilhantes-34, baços-36)
det(alegres-38, uns-37)
dobj(baços-36, alegres-38)
appos(alegres-38, outros-39)
adpmod(outros-39, como-40)
det(pedaço-42, um-41)
adpobj(como-40, pedaço-42)
adpmod(pedaço-42, de-43)
adpobj(de-43, hora-44)
partmod(pedaço-42, perdida-45)
adpmod(perdida-45, sem-46)
adpobj(sem-46, significação-47)
det(vermelhos-49, uns-48)
appos(pedaço-42, vermelhos-49)
cc(vermelhos-49, e-50)
conj(vermelhos-49, completos-51)
det(brancos-53, outros-52)
conj(vermelhos-49, brancos-53)
cc(brancos-53, mas-54)
advmod(espedaçados-56, já-55)
conj(brancos-53, espedaçados-56)
p(dizia-4, .-57)

nsubj(sabia-5, Eu-1)
adpmod(Eu-1, na-2)
adpobj(na-2, verdade-3)
neg(sabia-5, não-4)
root(ROOT-0, sabia-5)
dobj(sabia-5, o-6)
dobj(retrucar-8, que-7)
rcmod(o-6, retrucar-8)
cc(sabia-5, e-9)
conj(sabia-5, lamentava-10)
neg(ter-12, não-11)
xcomp(lamentava-10, ter-12)
det(gesto-14, um-13)
dobj(ter-12, gesto-14)
adpmod(gesto-14, de-15)
adpobj(de-15, reserva-16)
adpmod(ter-12, como-17)
det(de-20, o-18)
poss(de-20, seu-19)
adpmod(como-17, de-20)
adpcomp(de-20, alisar-21)
det(cabelo-23, o-22)
dobj(alisar-21, cabelo-23)
mark(sair-25, para-24)
advcl(alisar-21, sair-25)
adpmod(sair-25, da-26)
adpobj(da-26, confusão-27)
p(sabia-5, .-28)

adpmod(leu-5, No-1)
adpcomp(No-1, entanto-2)
adpmod(leu-5, para-3)
adpobj(para-3, quem-4)
root(ROOT-0, leu-5)
det(pouco-7, um-6)
dobj(leu-5, pouco-7)
cc(leu-5, e-8)
conj(leu-5, pensou-9)
advmod(pensou-9, bastante-10)
adpmod(pensou-9, nas-11)
adpobj(nas-11, noites-12)
adpmod(noites-12, de-13)
adpobj(de-13, insônia-14)
conj(pensou-9, é-15)
advmod(fácil-17, relativamente-16)
acomp(é-15, fácil-17)
csubj(é-15, dizer-18)
det(coisa-20, qualquer-19)
dobj(dizer-18, coisa-20)
nsubj(pareça-22, que-21)
rcmod(coisa-20, pareça-22)
acomp(pareça-22, profunda-23)
p(leu-5, .-24)

nsubj(respondia-3, Eu-1)
iobj(respondia-3, lhe-2)
root(ROOT-0, respondia-3)
mark(destruindo-6, que-4)
advmod(destruindo-6, mesmo-5)
ccomp(respondia-3, destruindo-6)
nsubj(construía-8, ele-7)
partmod(destruindo-6, construía-8)
p(construía-8, :-9)
adpmod(construía-8, pelo-10)
adpcomp(pelo-10, menos-11)
det(monte-13, esse-12)
adpobj(pelo-10, monte-13)
adpmod(monte-13, de-14)
adpobj(de-14, cacos-15)
adpmod(monte-13, para-16)
advmod(olhar-18, onde-17)
adpcomp(para-16, olhar-18)
cc(olhar-18, e-19)
conj(olhar-18, de-20)
mark(falar-22, que-21)
adpcomp(de-20, falar-22)
p(respondia-3, .-23)

advmod(absurdo-2, Perfeitamente-1)
root(ROOT-0, absurdo-2)
p(absurdo-2, .-3)

nsubj(achava-6, Ele-1)
adpmod(Ele-1, sem-2)
adpobj(sem-2, dúvida-3)
advmod(achava-6, também-4)
dobj(achava-6, o-5)
root(ROOT-0, achava-6)
mark(respondia-9, porque-7)
neg(respondia-9, não-8)
advcl(achava-6, respondia-9)
p(achava-6, .-10)

root(ROOT-0, Ficava-1)
advmod(triste-3, muito-2)
acomp(Ficava-1, triste-3)
adpmod(triste-3, a-4)
