det(apito-2, O-1)
nsubj(era-5, apito-2)
adpmod(apito-2, do-3)
adpobj(do-3, navio-4)
root(ROOT-0, era-5)
adpmod(era-5, como-6)
det(lamento-8, um-7)
adpobj(como-6, lamento-8)
cc(era-5, e-9)
conj(era-5, cortou-10)
det(crepúsculo-12, o-11)
dobj(cortou-10, crepúsculo-12)
nsubj(cobria-14, que-13)
rcmod(crepúsculo-12, cobria-14)
det(cidade-16, a-15)
dobj(cobria-14, cidade-16)
p(era-5, .-17)

det(capitão-2, O-1)
nsubj(encostou-se-5, capitão-2)
compmod(Magalhães-4, João-3)
appos(capitão-2, Magalhães-4)
root(ROOT-0, encostou-se-5)
adpmod(encostou-se-5, na-6)
adpobj(na-6, amurada-7)
cc(encostou-se-5, e-8)
conj(encostou-se-5, viu-9)
det(casario-11, o-10)
dobj(viu-9, casario-11)
adpmod(casario-11, de-12)
adpobj(de-12, construção-13)
amod(construção-13, antiga-14)
det(torres-16, as-15)
dobj(viu-9, torres-16)
adpmod(torres-16, das-17)
adpobj(das-17, igrejas-18)
p(encostou-se-5, .-19)

det(telhados-2, Os-1)
root(ROOT-0, telhados-2)
appos(telhados-2, negros-3)
appos(negros-3, ruas-4)
appos(ruas-4, calçadas-5)
adpmod(calçadas-5, de-6)
adpobj(de-6, pedras-7)
amod(pedras-7, enormes-8)
p(telhados-2, .-9)

poss(olhar-2, Seu-1)
nsubj(abrangia-3, olhar-2)
root(ROOT-0, abrangia-3)
det(variedade-5, uma-4)
nsubj(via-12, variedade-5)
adpmod(variedade-5, de-6)
adpobj(de-6, telhados-7)
advmod(variedade-5, porém-8)
adpmod(porém-8, da-9)
adpobj(da-9, rua-10)
advmod(via-12, só-11)
xcomp(abrangia-3, via-12)
det(trecho-15, um-13)
amod(trecho-15, pequeno-14)
dobj(via-12, trecho-15)
advmod(passava-18, onde-16)
neg(passava-18, não-17)
rcmod(trecho-15, passava-18)
dobj(passava-18, ninguém-19)
p(abrangia-3, .-20)

mark(saber-2, Sem-1)
root(ROOT-0, saber-2)
adpmod(saber-2, por-3)
mark(achou-5, que-4)
adpcomp(por-3, achou-5)
dobj(achou-5, aquelas-6)
appos(aquelas-6, pedras-7)
adpmod(pedras-7, com-8)
mark(calçado-13, que-9)
nsubj(calçado-13, mãos-10)
amod(mãos-10, escravas-11)
aux(calçado-13, haviam-12)
adpcomp(com-8, calçado-13)
det(rua-15, a-14)
dobj(calçado-13, rua-15)
adpmod(rua-15, de-16)
det(beleza-18, uma-17)
adpobj(de-16, beleza-18)
amod(beleza-18, comovente-19)
p(saber-2, .-20)

cc(achou-2, E-1)
root(ROOT-0, achou-2)
dobj(achou-2, belos-3)
advmod(achou-2, também-4)
det(telhados-6, os-5)
nsubj(negros-7, telhados-6)
xcomp(achou-2, negros-7)
cc(negros-7, e-8)
det(sinos-10, os-9)
conj(negros-7, sinos-10)
adpmod(sinos-10, das-11)
adpobj(das-11, igrejas-12)
nsubj(tocar-16, que-13)
aux(tocar-16, começaram-14)
adp(tocar-16, a-15)
rcmod(igrejas-12, tocar-16)
partmod(tocar-16, chamando-17)
det(cidade-19, a-18)
dobj(chamando-17, cidade-19)
amod(cidade-19, religiosa-20)
adpmod(chamando-17, para-21)
det(bênção-23, a-22)
adpobj(para-21, bênção-23)
p(achou-2, .-24)

advmod(apitou-4, Novamente-1)
det(navio-3, o-2)
nsubj(apitou-4, navio-3)
root(ROOT-0, apitou-4)
xcomp(apitou-4, rasgando-5)
det(crepúsculo-7, o-6)
dobj(rasgando-5, crepúsculo-7)
nsubj(envolvia-9, que-8)
rcmod(crepúsculo-7, envolvia-9)
det(cidade-11, a-10)
dobj(envolvia-9, cidade-11)
adpmod(cidade-11, da-12)
adpobj(da-12, Bahia-13)
p(apitou-4, .-14)

nsubj(estendeu-2, João-1)
root(ROOT-0, estendeu-2)
det(braços-4, os-3)
dobj(estendeu-2, braços-4)
adpmod(estendeu-2, num-5)
adpobj(num-5, adeus-6)
p(estendeu-2, .-7)

root(ROOT-0, Era-1)
mark(estivesse-4, como-2)
prt(estivesse-4, se-3)
advcl(Era-1, estivesse-4)
mark(despedindo-6, se-5)
advcl(estivesse-4, despedindo-6)
adpmod(despedindo-6, de-7)
det(bem-amada-9, uma-8)
adpobj(de-7, bem-amada-9)
adpmod(bem-amada-9, de-10)
det(mulher-12, uma-11)
adpobj(de-10, mulher-12)
amod(mulher-12, cara-13)
adpmod(despedindo-6, ao-14)
poss(coração-16, seu-15)
adpobj(ao-14, coração-16)
p(Era-1, .-17)

root(ROOT-0, Dentro-1)
adpmod(Dentro-1, do-2)
adpobj(do-2, navio-3)
appos(navio-3, homens-4)
cc(Dentro-1, e-5)
nsubj(conversavam-7, mulheres-6)
conj(Dentro-1, conversavam-7)
p(Dentro-1, .-8)

advmod(beijava-15, Fora-1)
adpmod(Fora-1, ao-2)
adpobj(ao-2, pé-3)
adpmod(pé-3, da-4)
adpobj(da-4, escada-5)
det(senhor-7, um-6)
nsubj(beijava-15, senhor-7)
adpmod(senhor-7, de-8)
amod(chapéu-10, preto-9)
adpobj(de-8, chapéu-10)
adpmod(chapéu-10, de-11)
adpobj(de-11, feltro-12)
adpmod(senhor-7, na-13)
adpobj(na-13, mão-14)
root(ROOT-0, beijava-15)
det(lábios-17, os-16)
dobj(beijava-15, lábios-17)
adpmod(lábios-17, de-18)
det(rapariga-20, uma-19)
adpobj(de-18, rapariga-20)
amod(rapariga-20, pálida-21)
p(beijava-15, .-22)

adpmod(iniciava-14, Ao-1)
adpobj(Ao-1, lado-2)
adpmod(lado-2, de-3)
adpobj(de-3, João-4)
det(sujeito-6, um-5)
nsubj(iniciava-14, sujeito-6)
amod(sujeito-6, gordo-7)
partmod(sujeito-6, encostado-8)
adpmod(encostado-8, no-9)
adpobj(no-9, espaldar-10)
adpmod(espaldar-10, de-11)
det(banco-13, um-12)
adpobj(de-11, banco-13)
root(ROOT-0, iniciava-14)
det(palestra-16, uma-15)
dobj(iniciava-14, palestra-16)
adpmod(palestra-16, com-17)
det(caixeiroviajante-19, um-18)
adpobj(com-17, caixeiroviajante-19)
amod(caixeiroviajante-19, português-20)
p(iniciava-14, .-21)

nsubj(consultava-2, Outro-1)
root(ROOT-0, consultava-2)
det(relógio-4, o-3)
dobj(consultava-2, relógio-4)
cc(consultava-2, e-5)
conj(consultava-2, dizia-6)
adpmod(quisesse-10, para-7)
adpobj(para-7, quem-8)
nsubj(quisesse-10, o-9)
ccomp(dizia-6, quisesse-10)
xcomp(quisesse-10, ouvir-11)
p(consultava-2, :-12)
p(Faltam-14, --13)
parataxis(consultava-2, Faltam-14)
