det(mulher-2, Essa-1)
nsubj(sou-8, mulher-2)
nsubj(matou-4, que-3)
rcmod(mulher-2, matou-4)
det(peixes-6, os-5)
dobj(matou-4, peixes-6)
advmod(sou-8, infelizmente-7)
root(ROOT-0, sou-8)
attr(sou-8, eu-9)
p(sou-8, .-10)

cc(juro-2, Mas-1)
root(ROOT-0, juro-2)
adpmod(juro-2, a-3)
adpobj(a-3, vocês-4)
nsubj(querer-8, que-5)
aux(querer-8, foi-6)
adp(querer-8, sem-7)
rcmod(vocês-4, querer-8)
p(juro-2, .-9)

advmod(eu-2, Logo-1)
root(ROOT-0, eu-2)
p(eu-2, !-3)

mark(tenho-3, Que-1)
neg(tenho-3, não-2)
root(ROOT-0, tenho-3)
dobj(tenho-3, coragem-4)
adpmod(coragem-4, de-5)
adpcomp(de-5, matar-6)
det(coisa-8, uma-7)
dobj(matar-6, coisa-8)
amod(coisa-8, viva-9)
p(tenho-3, !-10)

advmod(matar-4, Até-1)
aux(matar-4, deixo-2)
adp(matar-4, de-3)
root(ROOT-0, matar-4)
dobj(matar-4, uma-5)
amod(uma-5, barata-6)
cc(uma-5, ou-7)
conj(uma-5, outra-8)
p(matar-4, .-9)

root(ROOT-0, Dou-1)
poss(palavra-3, minha-2)
dobj(Dou-1, palavra-3)
adpmod(palavra-3, de-4)
adpobj(de-4, honra-5)
nsubj(sou-7, que-6)
rcmod(palavra-3, sou-7)
attr(sou-7, pessoa-8)
adpmod(pessoa-8, de-9)
adpobj(de-9, confiança-10)
cc(Dou-1, e-11)
poss(coração-13, meu-12)
nsubj(é-14, coração-13)
conj(Dou-1, é-14)
acomp(é-14, doce-15)
p(perto-17, :-16)
advmod(sofrer-25, perto-17)
adpmod(perto-17, de-18)
adpobj(de-18, mim-19)
advmod(sofrer-25, nunca-20)
aux(sofrer-25, deixo-21)
nsubj(sofrer-25, criança-22)
cc(criança-22, ou-23)
conj(criança-22, bicho-24)
conj(Dou-1, sofrer-25)
p(Dou-1, .-26)

dep(matei-4, Pois-1)
advmod(matei-4, logo-2)
nsubj(matei-4, eu-3)
root(ROOT-0, matei-4)
num(peixinhos-6, dois-5)
dobj(matei-4, peixinhos-6)
amod(peixinhos-6, vermelhos-7)
nsubj(fazem-10, que-8)
neg(fazem-10, não-9)
rcmod(peixinhos-6, fazem-10)
advmod(fazem-10, mal-11)
adpmod(fazem-10, a-12)
adpobj(a-12, ninguém-13)
cc(peixinhos-6, e-14)
mark(ambiciosos-18, que-15)
neg(ambiciosos-18, não-16)
auxpass(ambiciosos-18, são-17)
conj(peixinhos-6, ambiciosos-18)
p(ambiciosos-18, :-19)
advmod(querem-21, só-20)
parataxis(ambiciosos-18, querem-21)
advmod(viver-24, mesmo-22)
auxpass(viver-24, é-23)
xcomp(querem-21, viver-24)
p(matei-4, .-25)

nsubj(querem-3, Pessoas-1)
advmod(querem-3, também-2)
root(ROOT-0, querem-3)
xcomp(querem-3, viver-4)
cc(querem-3, mas-5)
advmod(aproveitar-8, infelizmente-6)
advmod(aproveitar-8, também-7)
conj(querem-3, aproveitar-8)
det(vida-10, a-9)
dobj(aproveitar-8, vida-10)
mark(fazer-12, para-11)
advcl(aproveitar-8, fazer-12)
det(coisa-14, alguma-13)
dobj(fazer-12, coisa-14)
adpmod(coisa-14, de-15)
adpobj(de-15, bom-16)
p(querem-3, .-17)

neg(tenho-2, Não-1)
root(ROOT-0, tenho-2)
dobj(tenho-2, coragem-3)
advmod(tenho-2, ainda-4)
adpmod(ainda-4, de-5)
adpcomp(de-5, contar-6)
advmod(mesmo-8, agora-7)
advmod(contar-6, mesmo-8)
advmod(aconteceu-10, como-9)
ccomp(contar-6, aconteceu-10)
p(tenho-2, .-11)

cc(prometo-2, Mas-1)
root(ROOT-0, prometo-2)
mark(contarei-8, que-3)
adpmod(contarei-8, no-4)
adpobj(no-4, fim-5)
adpmod(fim-5, deste-6)
adpobj(deste-6, livro-7)
ccomp(prometo-2, contarei-8)
cc(contarei-8, e-9)
conj(contarei-8, vocês-10)
nsubj(ler-13, que-11)
aux(ler-13, vão-12)
rcmod(vocês-10, ler-13)
det(história-15, essa-14)
nsubj(perdoarão-18, história-15)
amod(história-15, triste-16)
dobj(perdoarão-18, me-17)
ccomp(ler-13, perdoarão-18)
cc(perdoarão-18, ou-19)
conj(perdoarão-18, não-20)
p(prometo-2, .-21)

nsubj(perguntar-4, Vocês-1)
aux(perguntar-4, hão-2)
adp(perguntar-4, de-3)
root(ROOT-0, perguntar-4)
p(perguntar-4, :-5)
adpmod(perguntar-4, por-6)
adpobj(por-6, que-7)
advmod(no-9, só-8)
adpmod(que-7, no-9)
adpobj(no-9, fim-10)
adpmod(fim-10, do-11)
adpobj(do-11, livro-12)
p(perguntar-4, ?-13)

cc(respondo-3, E-1)
nsubj(respondo-3, eu-2)
root(ROOT-0, respondo-3)
p(respondo-3, :-4)
p(É-6, --5)
parataxis(respondo-3, É-6)
mark(contar-14, porque-7)
adpmod(contar-14, no-8)
adpobj(no-8, começo-9)
cc(no-8, e-10)
adpmod(contar-14, no-11)
adpobj(no-11, meio-12)
aux(contar-14, vou-13)
advcl(É-6, contar-14)
det(histórias-16, algumas-15)
dobj(contar-14, histórias-16)
adpmod(histórias-16, de-17)
adpobj(de-17, bichos-18)
dobj(tive-21, que-19)
nsubj(tive-21, eu-20)
rcmod(histórias-16, tive-21)
advmod(tive-21, só-22)
adpmod(tive-21, para-23)
nsubj(verem-25, vocês-24)
adpcomp(para-23, verem-25)
mark(matado-31, que-26)
nsubj(matado-31, eu-27)
advmod(matado-31, só-28)
aux(matado-31, poderia-29)
aux(matado-31, ter-30)
ccomp(verem-25, matado-31)
det(peixinhos-33, os-32)
dobj(matado-31, peixinhos-33)
adpmod(matado-31, sem-34)
adpcomp(sem-34, querer-35)
p(respondo-3, .-36)

root(ROOT-0, Estou-1)
adpmod(Estou-1, com-2)
adpobj(com-2, esperança-3)
adpmod(esperança-3, de-4)
mark(conheçam-13, que-5)
adpmod(conheçam-13, no-6)
adpobj(no-6, fim-7)
adpmod(fim-7, do-8)
adpobj(do-8, livro-9)
appos(livro-9, vocês-10)
advmod(conheçam-13, já-11)
dobj(conheçam-13, me-12)
adpcomp(de-4, conheçam-13)
acomp(conheçam-13, melhor-14)
cc(conheçam-13, e-15)
iobj(dêem-17, me-16)
conj(conheçam-13, dêem-17)
det(perdão-19, o-18)
dobj(dêem-17, perdão-19)
dobj(peço-22, que-20)
nsubj(peço-22, eu-21)
rcmod(perdão-19, peço-22)
det(propósito-24, a-23)
parataxis(chamávamos-33, propósito-24)
adpmod(propósito-24, da-25)
adpobj(da-25, morte-26)
adpmod(morte-26, de-27)
num(vermelhinhos-29, dois-28)
adpobj(de-27, vermelhinhos-29)
p(chamávamos-33, ---30)
adpmod(chamávamos-33, em-31)
adpobj(em-31, casa-32)
ccomp(peço-22, chamávamos-33)
det(peixes-35, os-34)
dobj(chamávamos-33, peixes-35)
adpmod(peixes-35, de-36)
adpobj(de-36, vermelhinhos-37)
p(Estou-1, .-38)

nsubj(gostei-3, Eu-1)
advmod(gostei-3, sempre-2)
root(ROOT-0, gostei-3)
adpmod(gostei-3, de-4)
adpobj(de-4, bichos-5)
p(gostei-3, .-6)

root(ROOT-0, Tive-1)
det(infância-3, uma-2)
dobj(Tive-1, infância-3)
amod(infância-3, rodeada-4)
adpmod(infância-3, de-5)
adpobj(de-5, gatos-6)
p(Tive-1, .-7)

nsubj(tinha-2, Eu-1)
root(ROOT-0, tinha-2)
det(gata-4, uma-3)
dobj(tinha-2, gata-4)
adpmod(gata-4, que-5)
adpmod(que-5, de-6)
adpobj(de-6, vez-7)
adpmod(que-5, em-8)
advmod(paria-10, quando-9)
adpcomp(em-8, paria-10)
det(ninhada-12, uma-11)
dobj(paria-10, ninhada-12)
adpmod(ninhada-12, de-13)
adpobj(de-13, gatos-14)
p(tinha-2, .-15)

cc(desfazerem-6, E-1)
nsubj(desfazerem-6, eu-2)
neg(desfazerem-6, não-3)
aux(desfazerem-6, deixava-4)
prt(desfazerem-6, se-5)
root(ROOT-0, desfazerem-6)
adpmod(desfazerem-6, de-7)
adpobj(de-7, nenhum-8)
adpmod(nenhum-8, dos-9)
adpobj(dos-9, gatinhos-10)
p(desfazerem-6, .-11)

det(resultado-2, O-1)
attr(é-3, resultado-2)
root(ROOT-0, é-3)
mark(ficou-7, que-4)
det(casa-6, a-5)
nsubj(ficou-7, casa-6)
csubj(é-3, ficou-7)
acomp(ficou-7, alegre-8)
adpmod(ficou-7, para-9)
adpobj(para-9, mim-10)
cc(ficou-7, mas-11)
conj(ficou-7, infernal-12)
adpmod(infernal-12, para-13)
det(pessoas-15, as-14)
adpobj(para-13, pessoas-15)
amod(pessoas-15, grandes-16)
p(é-3, .-17)

advmod(agüentando-3, Afinal-1)
neg(agüentando-3, não-2)
root(ROOT-0, agüentando-3)
advmod(agüentando-3, mais-4)
det(gatos-7, os-5)
poss(gatos-7, meus-6)
nsubj(deram-8, gatos-7)
parataxis(agüentando-3, deram-8)
dobj(deram-8, escondido-9)
adpmod(escondido-9, de-10)
adpobj(de-10, mim-11)
det(gata-13, a-12)
dobj(deram-8, gata-13)
adpmod(deram-8, com-14)
poss(ninhada-17, sua-15)
amod(ninhada-17, última-16)
adpobj(com-14, ninhada-17)
p(agüentando-3, .-18)

nsubj(fiquei-2, Eu-1)
root(ROOT-0, fiquei-2)
advmod(infeliz-4, tão-3)
acomp(fiquei-2, infeliz-4)
nsubj(adoeci-6, que-5)
ccomp(fiquei-2, adoeci-6)
adpmod(adoeci-6, com-7)
det(febre-9, muita-8)
adpobj(com-7, febre-9)
p(fiquei-2, .-10)

advmod(deram-3, Então-1)
iobj(deram-3, me-2)
root(ROOT-0, deram-3)
det(gato-5, um-4)
dobj(deram-3, gato-5)
adpmod(gato-5, de-6)
adpobj(de-6, pano-7)
mark(brincar-10, para-8)
nsubj(brincar-10, eu-9)
advcl(deram-3, brincar-10)
p(deram-3, .-11)

nsubj(liguei-3, Eu-1)
neg(liguei-3, não-2)
root(ROOT-0, liguei-3)
adpmod(liguei-3, para-4)
adpobj(para-4, ele-5)
mark(habituada-8, pois-6)
aux(habituada-8, estava-7)
advcl(liguei-3, habituada-8)
det(gatos-10, a-9)
dobj(habituada-8, gatos-10)
amod(gatos-10, vivos-11)
p(liguei-3, .-12)

det(febre-2, A-1)
nsubj(passou-4, febre-2)
advmod(passou-4, só-3)
root(ROOT-0, passou-4)
det(tempo-6, muito-5)
dobj(passou-4, tempo-6)
advmod(passou-4, depois-7)
p(passou-4, .-8)

nsubj(mudar-3, Bem-1)
aux(mudar-3, vamos-2)
root(ROOT-0, mudar-3)
adpmod(mudar-3, de-4)
adpobj(de-4, assunto-5)
p(mudar-3, .-6)

aux(contar-2, Vou-1)
root(ROOT-0, contar-2)
advmod(contar-2, antes-3)
det(coisas-5, umas-4)
nsubj(ficarem-11, coisas-5)
advmod(importantes-7, muito-6)
amod(coisas-5, importantes-7)
adpmod(coisas-5, para-8)
adpobj(para-8, vocês-9)
neg(ficarem-11, não-10)
ccomp(contar-2, ficarem-11)
acomp(ficarem-11, tristes-12)
adpmod(tristes-12, com-13)
poss(crime-15, meu-14)
adpobj(com-13, crime-15)
p(contar-2, .-16)

mark(tivesse-3, Se-1)
nsubj(tivesse-3, eu-2)
root(ROOT-0, tivesse-3)
dobj(tivesse-3, culpa-4)
nsubj(confessava-6, eu-5)
rcmod(culpa-4, confessava-6)
adpmod(confessava-6, a-7)
adpobj(a-7, vocês-8)
partmod(confessava-6, porque-9)
neg(minto-11, não-10)
acomp(porque-9, minto-11)
adpmod(minto-11, para-12)
adpobj(para-12, menino-13)
cc(menino-13, ou-14)
conj(menino-13, menina-15)
p(tivesse-3, .-16)

advmod(minto-2, Só-1)
root(ROOT-0, minto-2)
adpmod(minto-2, às-3)
adpobj(às-3, vezes-4)
adpmod(minto-2, para-5)
amod(tipo-7, certo-6)
adpobj(para-5, tipo-7)
adpmod(tipo-7, de-8)
adpobj(de-8, gente-9)
amod(gente-9, grande-10)
cc(minto-2, porque-11)
conj(minto-2, é-12)
det(jeito-15, o-13)
amod(jeito-15, único-14)
attr(é-12, jeito-15)
p(minto-2, .-16)

root(ROOT-0, Tem-1)
dobj(Tem-1, gente-2)
amod(gente-2, grande-3)
nsubj(é-5, que-4)
rcmod(gente-2, é-5)
advmod(chata-7, tão-6)
acomp(é-5, chata-7)
p(Tem-1, !-8)

nsubj(acham-3, Vocês-1)
neg(acham-3, não-2)
root(ROOT-0, acham-3)
p(acham-3, ?-4)

nsubj(compreendem-3, Elas-1)
advmod(compreendem-3, nem-2)
root(ROOT-0, compreendem-3)
det(alma-5, a-4)
dobj(compreendem-3, alma-5)
adpmod(alma-5, de-6)
det(criança-8, uma-7)
adpobj(de-6, criança-8)
p(compreendem-3, .-9)

nsubj(é-3, Criança-1)
advmod(é-3, nunca-2)
root(ROOT-0, é-3)
acomp(é-3, chata-4)
p(é-3, .-5)

adpmod(dizer-5, Por-1)
adpcomp(Por-1, enquanto-2)
advmod(dizer-5, só-3)
aux(dizer-5, posso-4)
root(ROOT-0, dizer-5)
mark(morreram-9, que-6)
det(peixes-8, os-7)
nsubj(morreram-9, peixes-8)
ccomp(dizer-5, morreram-9)
adpmod(morreram-9, de-10)
adpobj(de-10, fome-11)
adpmod(morreram-9, porque-12)
adpobj(porque-12, esqueci-13)
adpmod(esqueci-13, de-14)
iobj(dar-16, lhes-15)
adpcomp(de-14, dar-16)
dobj(dar-16, comida-17)
p(dizer-5, .-18)

advmod(conto-3, Depois-1)
nsubj(conto-3, eu-2)
root(ROOT-0, conto-3)
cc(conto-3, mas-4)
conj(conto-3, em-5)
adpobj(em-5, segredo-6)
advmod(vocês-8, só-7)
adpobj(em-5, vocês-8)
cc(vocês-8, e-9)
nsubj(saber-12, eu-10)
aux(saber-12, vamos-11)
conj(vocês-8, saber-12)
p(conto-3, .-13)

root(ROOT-0, Tenho-1)
dobj(Tenho-1, esperanças-2)
adpmod(esperanças-2, de-3)
adpcomp(de-3, que-4)
adpmod(que-4, até-5)
det(fim-7, o-6)
adpobj(até-5, fim-7)
adpmod(fim-7, do-8)
adpobj(do-8, livro-9)
nsubj(perdoar-13, vocês-10)
aux(perdoar-13, possam-11)
dobj(perdoar-13, me-12)
rcmod(livro-9, perdoar-13)
p(Tenho-1, .-14)

mwe(de-2, Antes-1)
mark(quero-4, de-2)
aux(quero-4, começar-3)
root(ROOT-0, quero-4)
mark(saibam-7, que-5)
nsubj(saibam-7, vocês-6)
ccomp(quero-4, saibam-7)
mark(é-11, que-8)
poss(nome-10, meu-9)
nsubj(é-11, nome-10)
ccomp(saibam-7, é-11)
attr(é-11, Clarice-12)
p(quero-4, .-13)

cc(chamam-5, E-1)
nsubj(chamam-5, vocês-2)
advmod(chamam-5, como-3)
prt(chamam-5, se-4)
root(ROOT-0, chamam-5)
p(chamam-5, ?-6)

root(ROOT-0, Digam-1)
amod(nome-4, baixinho-2)
det(nome-4, o-3)
dobj(Digam-1, nome-4)
adpmod(nome-4, de-5)
adpobj(de-5, vocês-6)
cc(nome-4, e-7)
poss(coração-9, meu-8)
nsubj(ouvir-11, coração-9)
aux(ouvir-11, vai-10)
conj(nome-4, ouvir-11)
p(Digam-1, .-12)

root(ROOT-0, Peço-1)
mark(leiam-3, que-2)
ccomp(Peço-1, leiam-3)
det(história-5, esta-4)
dobj(leiam-3, história-5)
adpmod(leiam-3, até-6)
det(fim-8, o-7)
adpobj(até-6, fim-8)
p(Peço-1, .-9)

aux(contar-2, Vou-1)
root(ROOT-0, contar-2)
det(coisas-4, umas-3)
dobj(contar-2, coisas-4)
p(coisas-4, :-5)
poss(casa-7, minha-6)
nsubj(tem-8, casa-7)
rcmod(coisas-4, tem-8)
dobj(tem-8, bichos-9)
amod(bichos-9, naturais-10)
p(contar-2, .-11)

nsubj(são-3, Bichos-1)
amod(Bichos-1, naturais-2)
root(ROOT-0, são-3)
attr(são-3, aqueles-4)
dobj(convidou-9, que-5)
det(gente-7, a-6)
nsubj(convidou-9, gente-7)
neg(convidou-9, não-8)
rcmod(aqueles-4, convidou-9)
cc(convidou-9, nem-10)
conj(convidou-9, comprou-11)
p(são-3, .-12)

adpmod(convidei-4, Por-1)
adpobj(Por-1, exemplo-2)
advmod(convidei-4, nunca-3)
root(ROOT-0, convidei-4)
dobj(convidei-4, uma-5)
amod(uma-5, barata-6)
mark(lanchar-8, para-7)
advcl(convidei-4, lanchar-8)
adpmod(lanchar-8, comigo-9)
p(convidei-4, .-10)

poss(casa-2, Minha-1)
nsubj(tem-3, casa-2)
root(ROOT-0, tem-3)
det(bichos-5, muitos-4)
dobj(tem-3, bichos-5)
amod(bichos-5, naturais-6)
advmod(rato-8, menos-7)
appos(bichos-5, rato-8)
appos(rato-8, graças-9)
adpmod(graças-9, a-10)
adpobj(a-10, Deus-11)
mark(tenho-13, porque-12)
advcl(tem-3, tenho-13)
dobj(tenho-13, medo-14)
cc(tenho-13, e-15)
conj(tenho-13, nojo-16)
adpmod(nojo-16, deles-17)
p(tem-3, .-18)

advmod(mães-4, Quase-1)
det(mães-4, todas-2)
det(mães-4, as-3)
nsubj(têm-5, mães-4)
root(ROOT-0, têm-5)
dobj(têm-5, medo-6)
adpmod(medo-6, de-7)
adpobj(de-7, rato-8)
p(têm-5, .-9)

det(pais-2, Os-1)
nsubj(gostam-6, pais-2)
neg(gostam-6, não-3)
p(não-3, :-4)
advmod(gostam-6, até-5)
root(ROOT-0, gostam-6)
mark(caçando-10, porque-7)
mark(divertem-9, se-8)
advcl(caçando-10, divertem-9)
advcl(gostam-6, caçando-10)
cc(caçando-10, e-11)
conj(caçando-10, matando-12)
det(bicho-14, esse-13)
dobj(matando-12, bicho-14)
dobj(detesto-16, que-15)
rcmod(bicho-14, detesto-16)
p(gostam-6, .-17)

nsubj(têm-2, Vocês-1)
root(ROOT-0, têm-2)
dobj(têm-2, pena-3)
adpmod(pena-3, de-4)
adpobj(de-4, rato-5)
p(têm-2, ?-6)

nsubj(tenho-2, Eu-1)
root(ROOT-0, tenho-2)
mark(é-5, porque-3)
neg(é-5, não-4)
advcl(tenho-2, é-5)
det(bicho-7, um-6)
attr(é-5, bicho-7)
amod(bicho-7, bom-8)
mark(amar-12, para-9)
det(gente-11, a-10)
nsubj(amar-12, gente-11)
advcl(é-5, amar-12)
cc(amar-12, e-13)
conj(amar-12, fazer-14)
dobj(fazer-14, carinho-15)
p(tenho-2, .-16)

nsubj(fariam-2, Vocês-1)
root(ROOT-0, fariam-2)
dobj(fariam-2, carinho-3)
adpmod(fariam-2, num-4)
adpobj(num-4, rato-5)
p(fariam-2, ?-6)

aux(ver-2, Vai-1)
root(ROOT-0, ver-2)
nsubj(têm-5, vocês-3)
advmod(têm-5, nem-4)
ccomp(ver-2, têm-5)
dobj(têm-5, medo-6)
cc(têm-5, e-7)
adpmod(são-11, em-8)
det(coisas-10, muitas-9)
adpobj(em-8, coisas-10)
conj(têm-5, são-11)
advmod(corajosos-13, mais-12)
acomp(são-11, corajosos-13)
adpmod(corajosos-13, do-14)
adpobj(do-14, que-15)
adpobj(que-15, eu-16)
p(ver-2, .-17)

root(ROOT-0, Tenho-1)
det(amigo-3, um-2)
dobj(Tenho-1, amigo-3)
appos(amigo-3, que-4)
advmod(era-6, quando-5)
rcmod(que-4, era-6)
attr(era-6, menino-7)
csubj(era-6, criou-8)
det(rato-10, um-9)
dobj(criou-8, rato-10)
amod(rato-10, branco-11)
p(Tenho-1, .-12)

root(ROOT-0, Fiquei-1)
adpmod(Fiquei-1, com-2)
det(nojo-4, tanto-3)
adpobj(com-2, nojo-4)
nsubj(quero-7, que-5)
advmod(quero-7, só-6)
rcmod(nojo-4, quero-7)
xcomp(quero-7, apertar-8)
det(mão-10, a-9)
dobj(apertar-8, mão-10)
adpmod(mão-10, de-11)
poss(amigo-13, meu-12)
adpobj(de-11, amigo-13)
mark(passar-15, quando-14)
advcl(quero-7, passar-15)
det(susto-17, o-16)
dobj(passar-15, susto-17)
p(Fiquei-1, .-18)

poss(rato-2, Seu-1)
nsubj(era-3, rato-2)
root(ROOT-0, era-3)
adpmod(era-3, na-4)
adpobj(na-4, verdade-5)
det(rata-7, uma-6)
attr(era-3, rata-7)
cc(rata-7, e-8)
prt(chamava-10, se-9)
conj(rata-7, chamava-10)
dobj(chamava-10, Maria-11)
adpmod(Maria-11, de-12)
adpobj(de-12, Fátima-13)
p(era-3, .-14)

nsubj(morreu-4, Maria-1)
adpmod(Maria-1, de-2)
adpobj(de-2, Fátima-3)
root(ROOT-0, morreu-4)
adpmod(morreu-4, de-5)
det(jeito-7, um-6)
adpobj(de-5, jeito-7)
amod(jeito-7, horrivelzinho-8)
nsubj(digo-10, eu-9)
rcmod(jeito-7, digo-10)
acomp(comeu-21, horrivelzinho-11)
mark(estou-15, porque-12)
adpmod(estou-15, no-13)
adpobj(no-13, fundo-14)
advcl(comeu-21, estou-15)
advmod(contente-17, bem-16)
acomp(estou-15, contente-17)
p(estou-15, :-18)
det(gato-20, um-19)
nsubj(comeu-21, gato-20)
xcomp(digo-10, comeu-21)
dobj(comeu-21, ela-22)
mark(rapidez-25, com-23)
dobj(rapidez-25, a-24)
advcl(comeu-21, rapidez-25)
